source_unit,depends_on_unit
OUTPUT,crt
OUTPUT,records
OUTPUT,strProc
OUTPUT,dos
OVRLAY,Overlay
OVRLAY,Dos
RUMORS,common
RUMORS,common1
RUMORS,common2
RUMORS,common3
RUMORS,common5
RUMORS,output
RUMORS,records
RUMORS,strProc
RUMORS,sys
SCRIPT,Common
SCRIPT,common5
SCRIPT,Crt
SCRIPT,Common1
SCRIPT,Common2
SCRIPT,Common3
SCRIPT,Dos
SCRIPT,Records
SCRIPT,TmpCom
SCRIPT,strproc
SCRLBK,Crt
SCRLBK,myio
SCRLBK,common
STRPROC2,common
SYS,common
SYS,records
SYSOP1,Crt
SYSOP1,Dos
SYSOP1,common4
SYSOP1,common5
SYSOP1,common
SYSOP1,common1
SYSOP1,common2
SYSOP1,common3
SYSOP1,file1
SYSOP1,records
SYSOP1,menus2
SYSOP11,Crt
SYSOP11,Dos
SYSOP11,common5
SYSOP11,misc1
SYSOP11,misc5
SYSOP11,common1
SYSOP11,common2
SYSOP11,common3
SYSOP11,menus2
SYSOP11,records
SYSOP11,common
SYSOP2,Crt
SYSOP2,Dos
SYSOP2,common1
SYSOP2,common2
SYSOP2,common3
SYSOP2,sysop1
SYSOP2,common5
SYSOP2,records
SYSOP2,sysop2a
SYSOP2,sysop2b
SYSOP2,sysop2c
SYSOP2,sysop2d
SYSOP2,sysop2e
SYSOP2,sysop2f
SYSOP2,sysop2g
SYSOP2,sysop2h
SYSOP2,sysop2i
SYSOP2,sysop2z
SYSOP2,sysop2s
SYSOP2,sysop21
SYSOP2,common
SYSOP21,Crt
SYSOP21,Dos
SYSOP21,common1
SYSOP21,common2
SYSOP21,common3
SYSOP21,common5
SYSOP21,common
SYSOP21,records
SYSOP2A,Crt
SYSOP2A,Dos
SYSOP2A,common4
SYSOP2A,common5
SYSOP2A,records
SYSOP2A,cuser
SYSOP2A,common1
SYSOP2A,common2
SYSOP2A,common3
SYSOP2A,common
SYSOP2B,Crt
SYSOP2B,Dos
SYSOP2B,common1
SYSOP2B,common2
SYSOP2B,common3
SYSOP2B,sysop3
SYSOP2B,sysop2j
SYSOP2B,common4
SYSOP2B,records
SYSOP2B,common5
SYSOP2B,common
SYSOP2C,Crt
SYSOP2C,Dos
SYSOP2C,common1
SYSOP2C,common2
SYSOP2C,common3
SYSOP2C,common5
SYSOP2C,records
SYSOP2C,common4
SYSOP2C,common
SYSOP2D,Crt
SYSOP2D,Dos
SYSOP2D,common1
SYSOP2D,common2
